timestamp,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12
2026-02-01 00:00:00+00:00,1,70.4329529,52.88451,16.9957256,47.0125198,4.02246857,4.6605196,3.80386877,0.87535423,5.80333948,19.1555576,192.043427
2026-02-01 00:00:01+00:00,1,70.442482,52.8740196,16.9445095,47.0826187,3.97865272,4.64068031,3.8063736,0.908358574,5.78997755,18.9584694,192.914215
2026-02-01 00:00:02+00:00,1,70.4632339,52.8665962,16.9963245,47.0153847,4.00994539,4.68242311,3.86005807,0.892383575,5.81292915,19.0687332,194.541626
2026-02-01 00:00:03+00:00,1,70.4878693,52.8614082,17.0333443,46.9871483,4.03074598,4.6610117,3.83461618,0.919792295,5.82448864,19.0917225,194.190979
2026-02-01 00:00:04+00:00,1,70.5078506,52.8501663,17.0181427,47.0077133,4.04522228,4.65487576,3.87467074,0.879952788,5.79252005,19.1156025,190.508713
2026-02-01 00:00:05+00:00,1,70.5323029,52.8452301,16.9699326,46.9232903,4.04431915,4.66291189,3.8541193,0.883120656,5.79229832,19.0976334,192.830887
2026-02-01 00:00:06+00:00,1,70.55896,52.8533287,16.9850445,46.9724159,4.031353,4.69000292,3.86079383,0.853793919,5.83728743,19.1389637,194.347946
2026-02-01 00:00:07+00:00,1,70.5824203,52.8790054,16.9801865,46.9375191,4.06011343,4.69964981,3.86806917,0.859835923,5.83594608,19.0412502,193.138214
2026-02-01 00:00:08+00:00,1,70.6040115,52.9139442,17.0102119,46.9904861,4.05640602,4.67947054,3.8793962,0.878466308,5.79725313,18.981472,193.279968
2026-02-01 00:00:09+00:00,1,70.6243668,52.9520569,16.9937706,46.9372864,4.05637884,4.70139885,3.91501045,0.872983277,5.88248062,19.0085278,191.98436
2026-02-01 00:00:10+00:00,1,70.6535873,52.9942856,17.0487576,47.0278625,4.04923201,4.70807648,3.91396284,0.897790909,5.8434267,19.0696812,190.706604
2026-02-01 00:00:11+00:00,1,70.6806183,53.0353432,17.0783424,46.9054413,4.0585556,4.70416784,3.89158487,0.864767313,5.8769846,18.9894638,190.754547
2026-02-01 00:00:12+00:00,1,70.7159576,53.0605965,16.9122868,47.0180588,4.07531214,4.69125271,3.89655852,0.877333999,5.83028078,18.6797581,191.982254
2026-02-01 00:00:13+00:00,1,70.7545624,53.0912018,16.9415359,47.008255,4.07391834,4.6826787,3.87430692,0.879805446,5.85173607,18.8087826,194.142883
2026-02-01 00:00:14+00:00,1,70.7973785,53.1233101,17.021944,47.083889,4.07540131,4.65743351,3.87936091,0.852600396,5.89302349,18.9155731,192.757019
2026-02-01 00:00:15+00:00,1,70.8300552,53.1423531,17.0042496,47.0428047,4.07651472,4.7067976,3.92710447,0.897065997,5.88242483,18.938652,193.210541
2026-02-01 00:00:16+00:00,1,70.8578186,53.1643448,16.9606304,46.9633293,4.10402584,4.72164345,3.94774294,0.855774105,5.84806299,19.0895329,189.784653
2026-02-01 00:00:17+00:00,1,70.8821182,53.1764183,16.9335499,46.9701424,4.08318567,4.68869257,3.89322639,0.884652793,5.85995817,19.0848923,191.128647
2026-02-01 00:00:18+00:00,1,70.904808,53.2055321,17.0025139,47.0528564,4.05055237,4.72839451,3.88432503,0.884682417,5.83705664,19.0639553,192.564331
2026-02-01 00:00:19+00:00,1,70.9306412,53.2179718,17.0119839,47.0134964,4.07395267,4.78604364,3.95027852,0.8804425,5.89101982,18.9860764,191.518204
2026-02-01 00:00:20+00:00,1,70.9601288,53.2283096,16.9765091,46.9629135,4.08048916,4.76757383,3.95437813,0.893856764,5.89664936,19.2676544,191.710068
2026-02-01 00:00:21+00:00,1,70.9852066,53.2304649,16.9748154,46.9268761,4.12464523,4.75681973,3.96140432,0.886753976,5.83521748,19.1637268,192.068497
2026-02-01 00:00:22+00:00,1,71.0142136,53.2304916,16.9302158,47.0484543,4.09818029,4.75243855,3.94360662,0.880839944,5.87376547,19.1620636,191.133118
2026-02-01 00:00:23+00:00,1,71.0415115,53.2321892,16.923893,46.9997406,4.08107853,4.71127796,3.90766072,0.887546599,5.92481279,19.2155018,192.231018
2026-02-01 00:00:24+00:00,1,71.0758972,53.2376137,17.004406,46.9563789,4.06804895,4.73252439,3.88598108,0.896803975,5.89341402,19.2415352,189.944611
2026-02-01 00:00:25+00:00,1,71.1072769,53.2488518,16.9979095,47.0489578,4.12187195,4.69367313,3.84865308,0.877116799,5.84930897,19.2788906,188.333099
2026-02-01 00:00:26+00:00,1,71.1415863,53.2589378,16.9823513,47.0139847,4.09497595,4.72648954,3.89175487,0.886887729,5.91109705,19.291851,191.343964
2026-02-01 00:00:27+00:00,1,71.1682053,53.2625313,16.9328098,47.075592,4.10362005,4.73338127,3.88350415,0.901376069,5.97882175,19.4200611,189.234344
2026-02-01 00:00:28+00:00,1,71.2054367,53.2584152,17.0265274,47.0017204,4.05131626,4.74548006,3.86486721,0.88845253,5.88169432,19.171011,192.205795
2026-02-01 00:00:29+00:00,1,71.233551,53.2471962,16.9028645,46.9786835,4.07184792,4.77449465,3.90762424,0.877738237,5.88932991,19.2783203,193.052612
2026-02-01 00:00:30+00:00,1,71.251976,53.2472076,16.9783478,46.9989395,4.10804081,4.73345423,3.94112444,0.890299737,5.85777521,19.3216305,193.143295
2026-02-01 00:00:31+00:00,1,71.2690811,53.24757,16.9454956,47.0401039,4.07390499,4.72637272,3.92278457,0.883124769,5.90995598,19.0941372,192.372696
2026-02-01 00:00:32+00:00,1,71.2884521,53.2451782,16.9742794,47.0032005,4.07196999,4.70589256,3.84981132,0.889342844,5.83707285,19.3121662,191.962418
2026-02-01 00:00:33+00:00,1,71.2983704,53.2418022,16.9566994,47.0182419,4.06696701,4.74368525,3.85798454,0.889057815,5.89597559,19.1383362,191.852921
2026-02-01 00:00:34+00:00,1,71.3097458,53.2506218,16.9917984,47.0156517,4.08123779,4.6935792,3.86585402,0.888795316,5.86315346,19.1153374,191.037598
2026-02-01 00:00:35+00:00,1,71.3246841,53.245697,16.991518,46.9700966,4.02273083,4.73476505,3.8561902,0.865263522,5.85707951,19.3070259,193.268173
2026-02-01 00:00:36+00:00,1,71.3394165,53.2523994,16.9707184,46.9984436,4.06463909,4.73734236,3.85460687,0.895359039,5.84765768,19.1872845,191.400696
2026-02-01 00:00:37+00:00,1,71.3505783,53.2573128,16.9808483,46.981472,4.01891565,4.71611977,3.78841305,0.892356753,5.8463726,19.088747,191.426529
2026-02-01 00:00:38+00:00,1,71.3559494,53.2562141,17.0198822,47.0497551,4.0597167,4.75260401,3.84138298,0.895148039,5.8878417,19.5406475,191.4664
2026-02-01 00:00:39+00:00,1,71.3560486,53.2583961,17.060379,47.0424156,4.07315969,4.74681664,3.8932569,0.908751965,5.86646175,19.5327015,190.343353
